ENDDATE,INDICATORCODE,DATAVALUE,
2020-03-09 00:00:00,1380044328,845.0,
2020-03-09 00:00:00,1010020068,100.48,
2020-03-08 00:00:00,1020870011,7837.0,
2020-03-06 00:00:00,1010020068,100.93,
2020-03-06 00:00:00,1380041303,858.0,
2020-03-06 00:00:00,1010020082,169.69,
2020-03-06 00:00:00,1010020079,128.34,
2020-03-06 00:00:00,1010020093,169.13,
2020-03-06 00:00:00,1010570001,12077.47,
2020-03-06 00:00:00,1010020092,126.43,
2020-03-06 00:00:00,1010020089,239.12,
2020-03-06 00:00:00,1085340178,2013.0,
2020-03-06 00:00:00,1085340038,1086750.0,
2020-03-06 00:00:00,1085340045,45.6,
2020-03-06 00:00:00,1080010002,45.27,
2020-03-06 00:00:00,1320270089,1196.53,
2020-03-06 00:00:00,1310300105,464.78,
2020-03-06 00:00:00,1310300106,701.35,
2020-03-06 00:00:00,1085340343,303940.0,
2020-03-06 00:00:00,1310200013,1253.5,
2020-03-06 00:00:00,1330010092,13170.0,
2020-03-06 00:00:00,1330011367,1003681.0,
2020-03-06 00:00:00,1320260098,543.8,
2020-03-06 00:00:00,1380045540,824.0,
2020-03-06 00:00:00,1380044328,860.0,
2020-03-06 00:00:00,1010020088,152.89,
2020-03-05 00:00:00,1010020068,101.2,
2020-03-05 00:00:00,1380041303,858.0,
2020-03-05 00:00:00,1010020082,170.14,
2020-03-05 00:00:00,1010020079,128.66,
2020-03-05 00:00:00,1010020093,169.16,
2020-03-05 00:00:00,1010020092,126.43,
2020-03-05 00:00:00,1010020089,239.31,
2020-03-05 00:00:00,1085340178,2073.0,
2020-03-05 00:00:00,1085340045,51.29,
2020-03-05 00:00:00,1080010002,51.13,
2020-03-05 00:00:00,1310200013,1265.5,
2020-03-05 00:00:00,1330020574,150.3,
2020-03-05 00:00:00,1380032973,2829.3,
2020-03-05 00:00:00,1330010092,13160.0,
2020-03-05 00:00:00,1320260098,544.6,
2020-03-05 00:00:00,1380045540,824.0,
2020-03-05 00:00:00,1380044328,860.0,
2020-03-05 00:00:00,1010020088,152.93,
2020-03-04 00:00:00,1010020068,101.02,
2020-03-04 00:00:00,1380041303,858.0,
2020-03-04 00:00:00,1010020082,170.34,
2020-03-04 00:00:00,1010020079,127.85,
2020-03-04 00:00:00,1010020093,169.2,
2020-03-04 00:00:00,1020870011,7801.0,
2020-03-04 00:00:00,1010020092,126.43,
2020-03-04 00:00:00,1010020089,239.33,
2020-03-04 00:00:00,1085340178,2071.0,
2020-03-04 00:00:00,1085340045,51.86,
2020-03-04 00:00:00,1080010002,51.86,
2020-03-04 00:00:00,1310200013,1272.0,
2020-03-04 00:00:00,1330010092,13110.0,
2020-03-04 00:00:00,1320260098,543.2,
2020-03-04 00:00:00,1380045540,824.0,
2020-03-04 00:00:00,1380044328,860.0,
2020-03-04 00:00:00,1010020088,152.94,
2020-03-03 00:00:00,1010020068,101.29,
2020-03-03 00:00:00,1380041303,858.0,
2020-03-03 00:00:00,1010020082,170.59,
2020-03-03 00:00:00,1010020079,127.52,
2020-03-03 00:00:00,1010020093,170.86,
2020-03-03 00:00:00,1010020092,126.44,
2020-03-03 00:00:00,1010020089,239.33,
2020-03-03 00:00:00,1085340178,2083.0,
2020-03-03 00:00:00,1085340045,52.24,
2020-03-03 00:00:00,1080010002,51.9,
2020-03-03 00:00:00,1310200013,1276.0,
2020-03-03 00:00:00,1330010092,13240.0,
2020-03-03 00:00:00,1320260098,545.2,
2020-03-03 00:00:00,1380045540,795.0,
2020-03-03 00:00:00,1380044328,860.0,
