regionname,indicatornameen,infopubldate,enddate,indicatorcode,datavalue ,,
中国,Current account balance,2022-10-11 00:00:00,2020-12-31 00:00:00,501201037,248.838,,
中国,Current account balance:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201038,1.674,,
中国,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201002,102562.84,
中国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201006,72630.4,
中国,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201009,17114.71,,
中国,Gross national savings:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201013,44.531,,
中国,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201017,-0.305,
美国,Gross domestic product, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101000,18384.7,
美国,Unemployment rate,2022-10-11 00:00:00,2020-12-31 00:00:00,500101023,8.092,,
美国,General government primary net lending/borrowing,2022-10-11 00:00:00,2020-12-31 00:00:00,500101033,-2585.79,,
美国,General government gross debt,2022-10-11 00:00:00,2020-12-31 00:00:00,500101037,28110.5,,
美国,General government gross debt:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101038,134.54,,
美国,Current account balance,2022-10-11 00:00:00,2020-12-31 00:00:00,500101040,-619.698,,
美国,Current account balance:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101041,-2.966,,
美国,General government primary net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101034,-12.376,,
美国,Gross domestic product corresponding to fiscal year, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101039,20893.75,
俄罗斯联邦,Implied PPP conversion rate,2022-10-11 00:00:00,2021-12-31 00:00:00,500901011,29.152,,
俄罗斯联邦,Total investment:Percent of GDP,2022-10-11 00:00:00,2021-12-31 00:00:00,500901012,22.422,,
俄罗斯联邦,Inflation, average consumer prices,2022-10-11 00:00:00,2021-12-31 00:00:00,500901014,131.573,
俄罗斯联邦,Inflation, average consumer prices,2022-10-11 00:00:00,2021-12-31 00:00:00,500901015,6.694,
俄罗斯联邦,Inflation, end of period consumer prices,2022-10-11 00:00:00,2021-12-31 00:00:00,500901016,132.0,
俄罗斯联邦,Volume of imports of goods and services,2022-10-11 00:00:00,2021-12-31 00:00:00,500901018,14.274,,
俄罗斯联邦,Volume of Imports of goods,2022-10-11 00:00:00,2021-12-31 00:00:00,500901019,14.686,,
俄罗斯联邦,Volume of exports of goods and services,2022-10-11 00:00:00,2021-12-31 00:00:00,500901020,2.479,,
俄罗斯联邦,Unemployment rate,2022-10-11 00:00:00,2021-12-31 00:00:00,500901022,4.825,,
俄罗斯联邦,Population,2022-10-11 00:00:00,2021-12-31 00:00:00,500901023,145.558,,
俄罗斯联邦,General government revenue,2022-10-11 00:00:00,2021-12-31 00:00:00,500901024,48118.42,,
俄罗斯联邦,General government revenue:Percent of GDP,2022-10-11 00:00:00,2021-12-31 00:00:00,500901025,36.727,,
俄罗斯联邦,General government total expenditure,2022-10-11 00:00:00,2021-12-31 00:00:00,500901026,47072.61,,
俄罗斯联邦,General government net lending/borrowing,2022-10-11 00:00:00,2021-12-31 00:00:00,500901028,1045.81,,
