enddate,infopubldate,companycode,secucode,totalshares,
2009-12-25 00:00:00,2009-12-22 00:00:00,281,000655,595340230,
2009-09-24 00:00:00,2010-04-23 00:00:00,23394,601898,13258663400,
2009-09-22 00:00:00,2009-09-19 00:00:00,267,000629,5726497468,
2009-08-12 00:00:00,2009-08-04 00:00:00,267,000629,5726497468,
2009-07-22 00:00:00,2009-08-04 00:00:00,267,000629,5726497468,
2009-07-21 00:00:00,2009-07-16 00:00:00,281,000655,595340230,
2009-07-15 00:00:00,2009-07-14 00:00:00,281,000655,372087644,
2009-06-30 00:00:00,2009-07-24 00:00:00,1692,600759,938551974,
2009-06-30 00:00:00,2009-08-28 00:00:00,267,000629,4976497468,
2009-06-30 00:00:00,2009-08-07 00:00:00,281,000655,372087644,
2009-06-30 00:00:00,2009-08-24 00:00:00,1188,600188,4918400000,
2009-06-30 00:00:00,2009-08-29 00:00:00,2148,601857,183020977818,
2009-06-30 00:00:00,2009-08-15 00:00:00,23394,601898,13258663400,
2009-06-30 00:00:00,2009-08-04 00:00:00,1850,600997,1234640000,
2009-06-26 00:00:00,2009-07-14 00:00:00,281,000655,372087644,
2009-05-21 00:00:00,2009-05-15 00:00:00,1850,600997,1234640000,
2009-05-20 00:00:00,2009-05-15 00:00:00,1692,600759,938551974,
2009-04-28 00:00:00,2009-05-05 00:00:00,267,000629,4976497468,
2009-01-13 00:00:00,2009-01-08 00:00:00,1850,600997,617320000,
2008-12-31 00:00:00,2009-03-26 00:00:00,2148,601857,183020977818,
2008-12-31 00:00:00,2009-04-09 00:00:00,281,000655,321254374,
2008-12-31 00:00:00,2011-07-07 00:00:00,157839,002629,66100000,
2008-12-31 00:00:00,2009-03-30 00:00:00,23394,601898,13258663400,
2008-12-31 00:00:00,2009-04-27 00:00:00,1188,600188,4918400000,
2008-12-31 00:00:00,2009-04-28 00:00:00,267,000629,4024730701,
2008-12-31 00:00:00,2011-01-06 00:00:00,82565,601011,290000000,
2008-12-31 00:00:00,2009-03-28 00:00:00,1850,600997,617320000,
2008-12-31 00:00:00,2009-04-30 00:00:00,1692,600759,938551974,
2008-12-11 00:00:00,2008-12-17 00:00:00,267,000629,4024730701,
2008-12-05 00:00:00,2008-12-03 00:00:00,1850,600997,617320000,
2008-11-20 00:00:00,2008-11-25 00:00:00,1850,600997,617320000,
2008-11-19 00:00:00,2008-11-13 00:00:00,1692,600759,938551974,
2008-09-24 00:00:00,2009-03-30 00:00:00,23394,601898,13258663400,
2008-06-30 00:00:00,2008-08-28 00:00:00,1692,600759,938551974,
2008-06-30 00:00:00,2008-07-29 00:00:00,23394,601898,13258663400,
2008-06-30 00:00:00,2008-08-25 00:00:00,1188,600188,4918400000,
2008-06-30 00:00:00,2008-07-18 00:00:00,281,000655,321254374,
2008-06-30 00:00:00,2008-08-28 00:00:00,2148,601857,183020977818,
2008-06-30 00:00:00,2008-08-15 00:00:00,1850,600997,561200000,
2008-06-30 00:00:00,2008-08-21 00:00:00,267,000629,3283434367,
2008-05-05 00:00:00,2008-04-28 00:00:00,23394,601898,13258663400,
